epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.824,2.16866,3.25504,1.94498,0.05498,0.5164,0.23404,0.0741,1.87739,3.69458,1.82756,0.000327778,0.000327778,0.000327778
2,20.9262,1.9299,2.06875,1.74949,0.65327,0.59146,0.64801,0.24728,1.97282,1.9158,1.75109,0.000642411,0.000642411,0.000642411
3,29.5383,1.87345,1.80831,1.71888,0.56765,0.47831,0.51886,0.21533,1.97218,1.87847,1.79895,0.000938187,0.000938187,0.000938187
4,38.1251,1.8294,1.64234,1.68223,0.79769,0.786,0.85467,0.40142,1.77011,1.21847,1.65422,0.000915143,0.000915143,0.000915143
5,46.7541,1.77875,1.51543,1.62927,0.80801,0.76169,0.84394,0.40074,1.76841,1.16291,1.66686,0.000886857,0.000886857,0.000886857
6,55.3432,1.73928,1.42364,1.59905,0.71336,0.77993,0.7723,0.32729,1.95312,1.30468,1.78764,0.000858571,0.000858571,0.000858571
7,65.0452,1.67164,1.3207,1.54183,0.89727,0.82011,0.9172,0.46738,1.66696,1.02824,1.59709,0.000830286,0.000830286,0.000830286
8,74.9823,1.63775,1.21646,1.51385,0.86751,0.84181,0.90751,0.4815,1.63619,1.09112,1.56832,0.000802,0.000802,0.000802
9,85.3358,1.60039,1.17514,1.48278,0.8903,0.84803,0.92273,0.48272,1.63757,0.96267,1.56469,0.000773714,0.000773714,0.000773714
10,96.2436,1.56906,1.11471,1.4583,0.89113,0.872,0.94402,0.51307,1.54457,0.88532,1.49117,0.000745429,0.000745429,0.000745429
11,108.206,1.57076,1.07445,1.46006,0.84638,0.86877,0.9244,0.50608,1.54149,0.9297,1.48901,0.000717143,0.000717143,0.000717143
12,120.6,1.53098,1.04569,1.42882,0.90997,0.87273,0.94139,0.51861,1.52735,0.85373,1.47675,0.000688857,0.000688857,0.000688857
13,131.106,1.4889,1.00478,1.40372,0.9252,0.89705,0.95767,0.54701,1.4632,0.77609,1.43114,0.000660571,0.000660571,0.000660571
14,140.28,1.47998,0.97265,1.39988,0.92237,0.87518,0.94968,0.53956,1.50841,0.81055,1.45508,0.000632286,0.000632286,0.000632286
15,149.962,1.45212,0.92062,1.37362,0.94843,0.90119,0.97177,0.56677,1.46001,0.74461,1.41983,0.000604,0.000604,0.000604
16,160.658,1.40185,0.8781,1.34445,0.92458,0.91346,0.95627,0.56254,1.43029,0.73818,1.4141,0.000575714,0.000575714,0.000575714
17,170.832,1.39126,0.87218,1.33495,0.95063,0.91187,0.97126,0.59371,1.37861,0.69714,1.37138,0.000547429,0.000547429,0.000547429
18,180.759,1.37739,0.8537,1.32786,0.92841,0.9224,0.96848,0.58977,1.38122,0.70833,1.39584,0.000519143,0.000519143,0.000519143
19,192.301,1.3541,0.82715,1.31125,0.93016,0.92383,0.96666,0.59025,1.35321,0.6859,1.36621,0.000490857,0.000490857,0.000490857
20,203.602,1.32211,0.81628,1.29726,0.92582,0.94006,0.96463,0.59294,1.34256,0.66423,1.36279,0.000462571,0.000462571,0.000462571
21,214.065,1.29162,0.7703,1.27114,0.9456,0.92647,0.97604,0.61097,1.29845,0.6513,1.34562,0.000434286,0.000434286,0.000434286
22,227.027,1.28597,0.75962,1.27142,0.96587,0.93149,0.97556,0.61697,1.29808,0.62226,1.34217,0.000406,0.000406,0.000406
23,237.524,1.2794,0.7528,1.26612,0.95321,0.93585,0.97976,0.6198,1.30669,0.62242,1.34497,0.000377714,0.000377714,0.000377714
24,247.511,1.24171,0.74356,1.24537,0.95357,0.94592,0.98267,0.63119,1.26924,0.60442,1.33395,0.000349429,0.000349429,0.000349429
25,257.346,1.20369,0.71145,1.22767,0.959,0.9639,0.98681,0.65617,1.205,0.56613,1.28786,0.000321143,0.000321143,0.000321143
26,298.225,1.12825,0.62327,1.23139,0.96925,0.94905,0.98502,0.63261,1.24732,0.57427,1.31076,0.000292857,0.000292857,0.000292857
27,306.949,1.10924,0.59099,1.212,0.96251,0.94378,0.98052,0.65183,1.21173,0.57867,1.28742,0.000264571,0.000264571,0.000264571
28,315.324,1.06532,0.56907,1.1973,0.96344,0.95325,0.98421,0.65889,1.19946,0.55723,1.28026,0.000236286,0.000236286,0.000236286
29,324.128,1.03555,0.55396,1.16426,0.96876,0.95192,0.98344,0.67039,1.17146,0.54765,1.26457,0.000208,0.000208,0.000208
30,334.314,1.01567,0.53708,1.16082,0.97347,0.96396,0.98693,0.6765,1.13537,0.53073,1.25448,0.000179714,0.000179714,0.000179714
31,344.234,1.00316,0.52496,1.15434,0.97745,0.96059,0.98665,0.67797,1.14127,0.5278,1.25586,0.000151429,0.000151429,0.000151429
32,353.958,0.97865,0.51815,1.13179,0.97785,0.95909,0.98667,0.68686,1.11661,0.51485,1.22468,0.000123143,0.000123143,0.000123143
33,363.799,0.95216,0.51024,1.12849,0.97705,0.95956,0.98941,0.6911,1.09556,0.50985,1.22687,9.48571e-05,9.48571e-05,9.48571e-05
34,375.583,0.92977,0.50108,1.11407,0.97991,0.96282,0.98881,0.69594,1.08511,0.50902,1.22568,6.65714e-05,6.65714e-05,6.65714e-05
35,385.329,0.91831,0.4917,1.10079,0.97764,0.95776,0.98779,0.69363,1.08556,0.5073,1.22627,3.82857e-05,3.82857e-05,3.82857e-05
